ate_num_t,ate_num
ATM434496,0NICA4107
ATM539020,0NICAF401
ATM295448,0NICA6704
ATM246384,0NICAQ404
ATM627355,0NICAT301
ATM426579,0NICAH301
ATM249502,0NIC00132
ATM736428,0NICAO903
ATM640155,0NICAQ801
ATM306456,0NIC53082
ATM403364,0NICAQ101
ATM859295,0NICAB201
ATM678484,0NICA0406
ATM250388,0NIC99104
ATM640465,0NICAH901
ATM628294,0NICAG304
ATM789820,0NICAY701
ATM643259,0NICA9401
ATM845223,0NICA9501
ATM151330,0NICA0906
ATM251782,0NICAX001
ATM457217,0NICA2204
ATM610136,0NICA8401
ATM175332,0NICA8005
ATM900627,0NICAL301
ATM185790,0NICAK901
ATM692625,0NICAD401
ATM672002,0NIC99106
ATM315844,0NICA2605
ATM832142,0NIC00145
ATM513067,0NICA1604
ATM168552,0NIC99107
ATM197035,0NIC53088
ATM963863,0NICA9601
ATM854066,0NICA5603
ATM281803,0NICAQ601
ATM180055,0NICAG901
ATM412854,0NICAX501
ATM570495,0NIC00150
ATM508585,0NICAQ701
ATM276744,0NIC00127
ATM112808,0NIC99096
ATM370906,0NICA1301
ATM784223,0NICA3601
ATM388935,0NICA0701
ATM695664,0NICAP501
ATM712235,0NICA7001
ATM623099,0NICAQ703
ATM212289,0NICA7201
ATM330245,0NICAG101
ATM328064,0NICAL901
ATM132809,0NICA7301
ATM282787,0NICAS805
ATM361208,0NICAN901
ATM416696,0NICAO101
ATM107598,0NICAG807
ATM833967,0NIC53013
ATM946363,0NICAC105
ATM458434,0NIC00122
ATM315628,0NICAC201
ATM318161,0NICA3501
ATM280804,0NIC53057
ATM711513,0NICAJ201
ATM615362,0NICA9101
ATM518214,0NICAQ401
ATM541258,0NICAO901
ATM664729,0NICAG805
ATM390010,0NICA6401
ATM560991,0NICA7401
ATM278573,0NIC53053
ATM183666,0NICAA001
ATM304662,0NICA1804
ATM633102,0NICAV101
ATM433230,0NICA7003
ATM777606,0NIC53079
ATM712413,0NICA6903
ATM330815,0NICAH704
ATM182934,0NICAP203
ATM239447,0NICAL801
ATM768833,0NICA0407
ATM677513,0NICA2401
ATM292987,0NICA2305
ATM291386,0NICA3107
ATM763899,0NIC53077
ATM195537,0NICA0907
ATM983076,0NIC99105
ATM871457,0NICAD303
ATM214300,0NICAV401
ATM282961,0NIC53059
ATM684902,0NICA4201
ATM587397,0NICAT601
ATM428157,0NICAU401
ATM417911,0NIC00134
ATM165530,0NICAA403
ATM509854,0NICAG201
ATM637329,0NICAC601
ATM452672,0NICAI003
ATM830348,0NICAX901
ATM175391,0NICA8004
ATM630328,0NICAG801
ATM121482,0NIC99115
ATM961439,0NICAP003
ATM520782,0NICA9201
ATM760181,0NICAU801
ATM915682,0NICA4203
ATM312433,0NICA4106
ATM933462,0NICAY901
ATM872822,0NICA0210
ATM325946,0NICA4104
ATM660883,0NIC53029
ATM346744,0NICAA301
ATM139797,0NIC99103
ATM834413,0NICA7901
ATM813996,0NICAG305
ATM853764,0NICA1505
ATM294195,0NIC53076
ATM713786,0NICAU403
ATM685874,0NICAF701
ATM696549,0NIC00149
ATM103376,0NIC53087
ATM188382,0NICAV901
ATM723338,0NICAM301
ATM275834,0NICAR001
ATM576781,0NICAI005
ATM891544,0NICAO601
ATM392232,0NICAR401
ATM277080,0NICA2803
ATM800479,0NIC53050
ATM314241,0NICA7701
ATM910784,0NICA6501
ATM536454,0NICA0603
ATM541327,0NICAP701
ATM667747,0NICAA006
