mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
1778,2417528,2432441,,,150,2024-08-07 07:05:08.091
1779,2417529,2432461,,,150,2024-08-07 07:05:08.091
1780,2417530,2432481,,,150,2024-08-07 07:05:08.091
1781,2417531,2432501,,,150,2024-08-07 07:05:08.091
1782,2417532,2432521,,,150,2024-08-07 07:05:08.091
1783,2417533,2432541,,,150,2024-08-07 07:05:08.091
1784,2417534,2432561,,,150,2024-08-07 07:05:08.091
1785,2417535,2432581,,,150,2024-08-07 07:05:08.091
1786,2417536,2432601,,,150,2024-08-07 07:05:08.091
1787,2417537,2432621,,,150,2024-08-07 07:05:08.091
1788,2417538,2432641,,,150,2024-08-07 07:05:08.091
1789,2417539,2432661,,,150,2024-08-07 07:05:08.091
1790,2417540,2432681,,,150,2024-08-07 07:05:08.091
1791,2417541,2432701,,,150,2024-08-07 07:05:08.091
1792,2417542,2432721,,,150,2024-08-07 07:05:08.091
1793,2417543,2432741,,,150,2024-08-07 07:05:08.091
1794,2417544,2432761,,,150,2024-08-07 07:05:08.091
1795,2417545,2432781,,,150,2024-08-07 07:05:08.091
1810,2417560,2432821,,,150,2024-08-07 07:05:08.091
1829,2419139,2433061,,,150,2024-08-07 07:05:08.091
1830,2419140,2433081,,,150,2024-08-07 07:05:08.091
1849,2419159,2433461,,,150,2024-08-07 07:05:08.091
1869,2419699,2433861,,,150,2024-08-07 07:05:08.091
1870,2419700,2433881,,,150,2024-08-07 07:05:08.091
1891,2422581,2434301,,,150,2024-08-07 07:05:08.091
1892,2422582,2434321,,,150,2024-08-07 07:05:08.091
1893,2422583,2434341,,,150,2024-08-07 07:05:08.091
1894,2422584,2434361,,,150,2024-08-07 07:05:08.091
1895,2422585,2434381,,,150,2024-08-07 07:05:08.091
1896,2422586,2434401,,,150,2024-08-07 07:05:08.091
1897,2422587,2434421,,,150,2024-08-07 07:05:08.091
1909,2422599,2434661,,,150,2024-08-07 07:05:08.091
1910,2422600,2434681,,,150,2024-08-07 07:05:08.091
1911,2422601,2434701,,,150,2024-08-07 07:05:08.091
1912,2422602,2434721,,,150,2024-08-07 07:05:08.091
1929,2422660,2435061,,,150,2024-08-07 07:05:08.091
1930,2422661,2435081,,,150,2024-08-07 07:05:08.091
1931,2422662,2435101,,,150,2024-08-07 07:05:08.091
1932,2422663,2435121,,,150,2024-08-07 07:05:08.091
1933,2422664,2435141,,,150,2024-08-07 07:05:08.091
1934,2422665,2435161,,,150,2024-08-07 07:05:08.091
1935,2422666,2435181,,,150,2024-08-07 07:05:08.091
1936,2422667,2435201,,,150,2024-08-07 07:05:08.091
1937,2422668,2435221,,,150,2024-08-07 07:05:08.091
1938,2422669,2435241,,,150,2024-08-07 07:05:08.091
1939,2422670,2435261,,,150,2024-08-07 07:05:08.091
1940,2422671,2435281,,,150,2024-08-07 07:05:08.091
1941,2422672,2435301,,,150,2024-08-07 07:05:08.091
1942,2422673,2435321,,,150,2024-08-07 07:05:08.091
1943,2422674,2435341,,,150,2024-08-07 07:05:08.091
1944,2422675,2435361,,,150,2024-08-07 07:05:08.091
1945,2422676,2435381,,,150,2024-08-07 07:05:08.091
1946,2422677,2435401,,,150,2024-08-07 07:05:08.091
1947,2422678,2435421,,,150,2024-08-07 07:05:08.091
1948,2422679,2435441,,,150,2024-08-07 07:05:08.091
1949,2422680,2435461,,,150,2024-08-07 07:05:08.091
1950,2422681,2435481,,,150,2024-08-07 07:05:08.091
1951,2422682,2435501,,,150,2024-08-07 07:05:08.091
1952,2422683,2435521,,,150,2024-08-07 07:05:08.091
1953,2422684,2435541,,,150,2024-08-07 07:05:08.091
1954,2422685,2435561,,,150,2024-08-07 07:05:08.091
1955,2422686,2435581,,,150,2024-08-07 07:05:08.091
