Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
PDSC749,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC818,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC795,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1519, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1645, SUPER UTTAM NARI BACHAT KHATA-GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC175, PREMIUM SUPER UTTAM BIDHYARTHI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC174, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC297, PREMIUM SUPER UTTAM JESTHA NAGARIK KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC268, PREMIUM SUPER UTTAM NARI BACHAT KHATA DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1227, PREMIUM SUPER UTTAM NARI BACHAT KHATA GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1431, PREMIUM SUPER UTTAM NARI BACHAT KHATA SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC147, PREMIUM SUPER UTTAM TALAB BACHAT KHATA PRIME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1463, SUPER UTTAM NARI BACHAT KHATA-DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC77, PREMIUM SUPER UTTAM BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1147, PREMIUM SUPER UTTAM BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC306, PREMIUM SUPER UTTAM BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1554, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1352, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC377, PREMIUM SUPER UTTAM SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC554, PREMIUM SUPER UTTAM BABU NANI BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1204, PREMIUM SUPER UTTAM NARI BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1793, PREMIUM SUPER UTTAM BAIDESHIK ROJGAR BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC850, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC420, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
