schm_code_t,Schm_code,Schm_Desc (Product)
PDSC1456,SD440,UTKRISTA HARIPURWA NAGARPALIKA BACHAT KHATA PRIDE
PDSC269,SD418,UTKRISTA SABAILA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1530,SD515,UTKRISTA BARABARDIYA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1506,SD660,UTKRISTA KERABARI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC448,SD711,UTKRISTA KATHMANDU MAHANAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC852,SD303,UTKRISTA DHANUSADHAM NAGARPALIKA BACHAT KHATA PARTNER
PDSC1414,SD323,UTKRISTA BARDAGHAT NAGARPALIKA BACHAT KHATA PRIDE
PDSC1155,SD420,UTKRISTA SABAILA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1035,SD632,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1125,SD638,UTKRISTA RAPTI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC359,SD644,UTKRISTA DHOBINI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1188,SD677,UTKRISTA GODAWARI NAGARPALIKA - LALITPUR BACHAT KHATA PRIDE ONLINE
PDSC1719,SD695,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA PRIDE ONLINE
PDSC1521,SD474,UTKRISTA KHAJURA GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1574,SD483,UTKRISTA GARUDA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC459,SD516,UTKRISTA BARABARDIYA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1715,SD388,UTKRISTA RIBDIKOT GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC51,SD459,UTKRISTA KATHMANDU MAHANAGARPALIKA BACHAT KHATA PARTNER
PDSC236,SD406,UTKRISTA KERABARI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1080,SD610,UTKRISTA SUNWAL NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC239,SD601,UTKRISTA BHAGWANPUR GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC127,SD486,UTKRISTA GAIDAHAWA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC410,SD489,UTKRISTA GAURADAHA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC817,SD495,UTKRISTA TOKHA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC110,SD564,UTKRISTA DEWANGUNJ GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1470,SD570,UTKRISTA BUDHIGANGA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC438,SD585,UTKRISTA BUDDHASHANTI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1237,SD606,UTKRISTA BHIMPHEDI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1814,SD329,UTKRISTA BANSGADHI MUSAGARMATHAIPAITY BACHAT KHATA PRIDE
PDSC1538,SD365,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA PRIDE
PDSC966,SD367,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC316,SD397,UTKRISTA RAJPUR GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC463,SD422,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA PRIDE
PDSC808,SD437,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA PRIDE
PDSC76,SD525,UTKRISTA RAMDHUNI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC767,SD534,UTKRISTA TIRAHUT GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC257,SD722,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - AMBASSADOR
PDSC1441,SD723,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - PRIDE
PDSC1852,SD725,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC712,SD726,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - PRIDE ONLINE
PDSC669,SD728,DIAMOND JPY SAVINGS  DEPOSIT
PDSC221,SD381,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1694,SD262,UTKRISTA BARABARDIYA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC799,SD251,UTKRISTA CHHIPAHARMAI GAUPALIKA BACHAT KHATA PRIDE
PDSC1851,SD254,UTKRISTA JAGARNATHPUR GAUPALIKA BACHAT KHATA PRIDE
PDSC533,SD309,UTKRISTA ANNAPURNA GAUNPALIKA BACHAT KHATA PARTNER
PDSC144,SD393,UTKRISTA DHOBINI GAUPALIKA BACHAT KHATA PARTNER
PDSC404,SD274,UTKRISTA BIDEHA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC842,SD716,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1140,SD648,UTKRISTA GADHAWA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1037,SD409,UTKRISTA KATAHARIYA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC480,SD421,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1474,SD424,UTKRISTA GODAWARI NAGARPALIKA LALITPUR BACHAT KHATA AMBASSADOR
PDSC1101,SD548,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC882,SD574,UTKRISTA BARDAGHAT NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC874,SD563,UTKRISTA DEWANGUNJ GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC416,SD729,SAGARMATHA WALLET ACCOUNT
PDSC762,SD269,UTKRISTA JHAPA GAUPALIKA BACHAT KHATA PRIDE
PDSC1309,SD372,UTKRISTA MAHADEWA GAUNPALIKA BACHAT KHATA PARTNER
PDSC1255,SD301,UTKRISTA DHANUSADHAM NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC654,SD411,UTKRISTA KATAHARIYA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1185,SD469,UTKRISTA JANAKI GAUNPALIKA BACHAT KHATA AMBASSADOR ONLINE
PDSC1347,SD374,UTKRISTA MAHARAJGUNJ NAGARPALIKA BACHAT KHATA PRIDE
PDSC1499,SD450,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA PARTNER
PDSC964,SD385,UTKRISTA RAPTI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1534,SD512,UTKRISTA KAMALA MUSAGARMATHAIPALITY BACHAT KHATA PRIDE ONLINE
PDSC1349,SD631,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1122,SD664,UTKRISTA BIRTAMOD NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1267,SD706,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC467,SD584,UTKRISTA BUDDHASHANTI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1613,SD641,UTKRISTA RIBDIKOT GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC23,SD308,UTKRISTA ANNAPURNA GAUPALIKA BACHAT KHATA PRIDE
PDSC1653,SD319,UTKRISTA BANDIPUR GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC1213,SD448,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC710,SD578,UTKRISTA BALARA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC500,SD593,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC171,SD629,UTKRISTA KANCHAN GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC644,SD250,UTKRISTA CHHIPAHARMAI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC609,SD245,UTKRISTA GODAWARI NAGARPALIKA KAILALI BACHAT KHATA  PRIDE
PDSC903,SD272,UTKRISTA RAMDHUNI NAGARPALIKA BACHAT KHATA PRIDE
PDSC1464,SD348,UTKRISTA BARDAGORIYA GAUNPALIKA BACHAT KHATA PARTNER
PDSC881,SD351,UTKRISTA BHAGWANPUR GAUNPALIKA BACHAT KHATA PARTNER
PDSC504,SD572,UTKRISTA BANDIPUR GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1562,SD581,UTKRISTA BANSGADHI MUSAGARMATHAIPAITY BACHAT KHATA PRIDE ONLINE
PDSC82,SD623,UTKRISTA MAHADEWA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC58,SD471,UTKRISTA JANAKI GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1355,SD727,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - PARTNER ONLINE
PDSC1216,SD758,UTKRISTA HYBRID BACHAT KHATA
PDSC517,SD701,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1015,SD707,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC724,SD307,UTKRISTA ANNAPURNA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC337,SD296,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA PRIDE
PDSC1636,SD302,UTKRISTA DHANUSADHAM NAGARPALIKA BACHAT KHATA PRIDE
PDSC509,SD322,UTKRISTA BARDAGHAT NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC242,SD417,UTKRISTA ARJUNDHARA MUNCIPALITY BACHAT KHATA PARTNER
PDSC1733,SD334,UTKRISTA BEDKOT NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1808,SD737,UTKRISTA PANCHAKANYA GAUPALIKA BACHAT KHATA AMBASSADOR ONLINE
PDSC1599,SD331,UTKRISTA BUDDHASHANTI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC671,SD652,UTKRISTA LOHARPATTI MUSAGARMATHAIPALITY BACHAT KHATA - AMBASSADOR ONLINE
PDSC1845,SD732,UTKRISTA MAHAGADHIMAI NAGARPALIKA BACHAT KHATA - PARTNER
PDSC1615,SD734,UTKRISTA PANCHAKANYA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC441,SD264,UTKRISTA BARABARDIYA NAGARPALIKA BACHAT KHATA PARTNER
PDSC244,SD236,UTKRISTA GAURADAHA NAGARPALIKA BACHAT KHATA PRIDE
PDSC398,SD279,UTKRISTA MAHALAXMI NAGARPALIKA BACHAT KHATA - PARTNER
PDSC523,SD291,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA PARTNER
PDSC511,SD297,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA PARTNER
PDSC764,SD300,UTKRISTA ROHINI GAUNPALIKA BACHAT KHATA PARTNER
PDSC1448,SD487,UTKRISTA GAURADAHA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC646,SD565,UTKRISTA GRAMTHAN GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1536,SD589,UTKRISTA RAMPRASADRAI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1230,SD746,UTKRISTA PAYROLL BACHAT KHATA-PRIDE
PDSC1051,SD340,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC984,SD426,UTKRISTA GODAWARI NAGARPALIKA - LALITPUR BACHAT KHATA PARTNER
PDSC357,SD344,UTKRISTA KACHANKAWAL GAUPALIKA BACHAT KHATA PRIDE
PDSC66,SD608,UTKRISTA BHIMAD NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1650,SD621,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC650,SD639,UTKRISTA RAPTI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC603,SD642,UTKRISTA RIBDIKOT GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1642,SD690,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC558,SD702,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC800,SD718,UTKRISTA BUNDLED SAHAJ BACHAT KHATA ONLINE
PDSC925,SD719,UTKRISTA REMITTANCE BACHAT KHATA - AMBASSADOR ONLINE
PDSC1706,SD270,UTKRISTA JHAPA GAUNPALIKA BACHAT KHATA PARTNER
PDSC527,SD239,UTKRISTA GAURIGUNJ GAUNPALIKA BACHAT KHATA  PRIDE
PDSC553,SD282,UTKRISTA TIRAHUT GAUNPALIKA BACHAT KHATA PARTNER
PDSC846,SD285,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1827,SD259,UTKRISTA KAMALA MUSAGARMATHAIPALITY BACHAT KHATA AMBASSADOR
PDSC822,SD747,UTKRISTA PAYROLL BACHAT KHATA-PARTNER
PDSC812,SD751,UTKRISTA PAYROLL BACHAT KHATA-PARTNER ONLINE
PDSC892,SD752,UTKRISTA PAYROLL BACHAT KHATA-GENERAL ONLINE
PDSC896,SD753,UTKRISTA SUNYA MAUJAT BACHAT KHATA ONLINE
PDSC756,SD347,UTKRISTA BARDAGORIYA GAUNPALIKA BACHAT KHATA PRIDE
PDSC976,SD355,UTKRISTA BHIMAD NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC708,SD350,UTKRISTA BHAGWANPUR GAUPALIKA BACHAT KHATA PRIDE
PDSC1484,SD358,UTKRISTA SUNWAL NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1494,SD362,UTKRISTA THAKURBABA NAGARPALIKA BACHAT KHATA PRIDE
PDSC1833,SD479,UTKRISTA DEVDAHA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1197,SD708,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1786,SD247,UTKRISTA GAURIGANGA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1043,SD276,UTKRISTA BIDEHA NAGARPALIKA BACHAT KHATA PARTNER
PDSC957,SD294,UTKRISTA DUHABI NAGARPALIKA BACHAT KHATA PARTNER
PDSC983,SD387,UTKRISTA RAPTI NAGARPALIKA BACHAT KHATA PARTNER
PDSC461,SD390,UTKRISTA RIBDIKOT GAUPALIKA BACHAT KHATA PARTNER
PDSC44,SD321,UTKRISTA BANDIPUR GAUNPALIKA BACHAT KHATA PARTNER
PDSC1176,SD377,UTKRISTA KANCHAN GAUPALIKA BACHAT KHATA PRIDE
PDSC1587,SD530,UTKRISTA MAHALAXMI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1544,SD556,UTKRISTA DUDUWA GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1490,SD577,UTKRISTA BALARA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1397,SD592,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1580,SD522,UTKRISTA JHAPA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC194,SD549,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC665,SD558,UTKRISTA DUDUWA GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC296,SD567,UTKRISTA GRAMTHAN GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC700,SD612,UTKRISTA SUNWAL NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC681,SD645,UTKRISTA DHOBINI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1873,SD714,UTKRISTA KABILASI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1509,SD330,UTKRISTA BANSGADHI MUSAGARMATHAIPAITY BACHAT KHATA PARTNER
PDSC445,SD396,UTKRISTA GADHAWA GAUPALIKA BACHAT KHATA PARTNER
PDSC706,SD277,UTKRISTA MAHALAXMI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC335,SD336,UTKRISTA BEDKOT NAGARPALIKA BACHAT KHATA PARTNER
PDSC628,SD339,UTKRISTA RAMPRASADRAI GAUNPALIKA BACHAT KHATA PARTNER
PDSC161,SD647,UTKRISTA GADHAWA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC197,SD452,UTKRISTA KAILARI GAUNPALIKA BACHAT KHATA PRIDE
PDSC1259,SD451,UTKRISTA KAILARI GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC115,SD454,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC162,SD724,UTKRISTA NARAHA GAUPALIKA BACHAT KHATA - PARTNER
PDSC1859,SD733,KMC PENSION AMBASSADOR ACCOUNT
PDSC652,SD649,UTKRISTA RAJPUR GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC134,SD576,UTKRISTA BARDAGHAT NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC153,SD594,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC255,SD740,UTKRISTA 10X REMITTANCE BACHAT YOJANA
PDSC545,SD346,UTKRISTA BARDAGORIYA GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC69,SD410,UTKRISTA KATAHARIYA NAGARPALIKA BACHAT KHATA PRIDE
PDSC789,SD453,UTKRISTA KAILARI GAUNPALIKA BACHAT KHATA PARTNER
PDSC501,SD470,UTKRISTA JANAKI GAUNPALIKA BACHAT KHATA  PRIDE ONLINE
PDSC804,SD283,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC625,SD357,UTKRISTA BHIMAD NAGARPALIKA BACHAT KHATA PARTNER
PDSC22,SD275,UTKRISTA BIDEHA NAGARPALIKA BACHAT KHATA PRIDE
PDSC801,SD281,UTKRISTA TIRAHUT GAUPALIKA BACHAT KHATA PRIDE
PDSC391,SD310,UTKRISTA DEWANGUNJ GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1606,SD607,UTKRISTA BHIMAD NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC219,SD678,UTKRISTA GODAWARI NAGARPALIKA - LALITPUR BACHAT KHATA- PARTNER ONLINE
PDSC1598,SD696,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA- PARTNER ONLINE
PDSC534,SD431,UTKRISTA GUJARA NAGARPALIKA BACHAT KHATA PRIDE
PDSC1157,SD465,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA PARTNER
PDSC1791,SD455,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA PRIDE
PDSC573,SD464,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA PRIDE
PDSC452,SD430,UTKRISTA GUJARA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC304,CS001,CREDIT SALE LOAN
PDSC581,SD766,UTKRISTA POSHAN BHATA BACHAT KHATA
PDSC519,SD765,NEA FAMILY BUNDLE ACCOUNT- FLEXI
PDSC346,SD764,NEA PAYROLL ACCOUNT -FLEXI
PDSC1545,CAPER,CURRENT ACCOUNT PERSONNEL
PDSC1383,CACOR,CURRENT ACCOUNT-CORPORATE
PDSC86,CA002,CURRENT ACCOUNT PLUS
PDSC1787,CA003,CURRENT A/C FOR SOCIETIES
PDSC1823,CA004,BUSINESS PRIVILEGE ACCOUN
PDSC919,CA005,EZEE CURRENT ACCOUNT
PDSC331,CA006,BAGMATI CURRENT ACCOUNT
PDSC1747,CA007,OTHERS CURRENT ACCOUNT
PDSC202,CA008,DSL CURRENT ACCOUNT
PDSC922,CA014,SAGARMATHA HEALTH SECTOR CURRENT ACCOUNT
PDSC170,CA015,SAGARMATHA QR PAYMENT
PDSC1849,CA009,SAGARMATHA COLLEGE/SCHOOL CURRENT ACCOUNT
PDSC20,CA010,SAGARMATHA UNIVERSITY CURRENT ACCOUNT
PDSC1549,DENCA,SAGARMATHA  DEVELOPMENT AND EMBASSY NGO
PDSC814,CA017,SAGARMATHA TOURISM CURRENT ACCOUNT
PDSC406,CA016,SAGARMATHA PRIORITY SECTOR CURRENT ACCOUNT
PDSC430,DEICA,SAGARMATHA DEVELOPMENT AND EMBASSY INGO
PDSC1334,DETCA,SAGARMATHA  DEVELOPMENT AND EMBASSY NPO/TRUST
PDSC261,CA019,CURRENT BFI LCY DEPOSIT
PDSC672,CA020,CURRENT COOPERATIVE DEPOSIT
PDSC312,CA018,CURRENT BFI FCY DEPOSIT
PDSC1557,CA029,SWEEP IN SWEEP OUT INST-CURRENT
PDSC443,TDGEN,FIXED DEPOSIT - GENERAL
PDSC289,TDCOR,FIXED DEPOSIT - CORPORATE
PDSC642,TD03,FIXED DEP-OVER 2 YEARS
PDSC1278,TDMAT,FIXED DEP COR - MATURITY
PDSC143,TDUNL,FIXED DEP- UNLIMITED
PDSC477,TDCHF,FIXED DEPOSIT HY- CORP
PDSC184,TDCYR,FIXED DEPOSIT  CORP-YEAR
PDSC1437,TDGHF,FIXED DEP.  GEN-HALFYEAR
PDSC83,TDGYR,FIXED DEP GEN-YEARLY
PDSC185,TDGMT,TERM DEPOSIT MATURITY
PDSC543,TDMGT,FIXED DEP - MATURITY
PDSC861,TDCH3,FIXED DEP COR-HALFYEAR 3Y
PDSC1421,TDSCM,FD - BOA SR CTZN MONTHLY
PDSC1578,TDMCP,FD - BOA SR CTZN MATURITY
PDSC118,IBBOR,IB BORROWING
PDSC1539,TDSMU,BOA SAMUNNATI FIXED
PDSC604,TDDBY,BOA DHANBARSHA - MATURITY
PDSC683,TDDBM,FD - BOA DHAN BARSA MUDDA
PDSC1855,TDDB3,FD - BOA DHAN BARS > 2YRS
PDSC717,IBUSD,IB BORROWING USD
PDSC1736,FD025,UTTAM FIXED DEPOSIT - GOLD
PDSC1066,TDSUP,SUPER DEPOSIT ACCOUNT
PDSC1399,TDDDT,DOUBLE DEPOSIT ACCOUNT
PDSC167,IBEUR,IB BORROWING EUR
PDSC1060,IBGBP,IB BORROWING GBP
PDSC1651,TD07,FIXED DEP-OVER 7 YEARS
PDSC555,IBAUD,IB BORROWING AUD
PDSC1123,FD003,FD IND QTR < 2 YRS USD
PDSC806,FD152,FD YEARLY IND. USD
PDSC470,FD153,FD YEARLY IND. EUR
PDSC1321,FD154,FD YEARLY IND. GBP
PDSC1107,FD251,FD MATURITY INDIVIDUAL
PDSC538,FD252,FD MATURITY IND. USD
PDSC1206,FD253,FD MATURITY IND. EUR
PDSC286,FD604,FD HALF YEARLY COR. GBP
PDSC248,FD651,FD YEARLY CORPORATE
PDSC1356,FD652,FD YEARLY COR. USD
PDSC1096,FD653,FD YEARLY COR. EUR
PDSC1026,FD654,FD YEARLY COR. GBP
PDSC797,FD751,FD MATURITY CORPORATE
PDSC408,FD752,FD MATURITY COR. USD
PDSC1119,FD753,FD MATURITY COR. EUR
PDSC770,FD754,FD MATURITY COR. GBP
PDSC1121,FD701,FD CORPORATE MONTHLY
PDSC1025,FD702,FD COR. MATURITY USD 
PDSC1756,FD704,FD COR MONTHLY GBP
PDSC259,FD605,FD HALF YEARLY CORP > 2YR
PDSC1774,FD606,FD HALF YEARLY COR. USD
PDSC1771,IBBAU,INTER BANK BORROWING AUD
PDSC1139,IBBEU,INTER BANK BORROWING EUR
PDSC1367,IBBGB,INTER BANK BORROWING GBP
PDSC1053,IBBNP,INTER BANK BORROWING NPR
PDSC12,IBBUD,INTER BANK BORROWING USD
PDSC78,IBBSG,INTER BANK BORROWING SGD
PDSC965,FD801,DOUBLE DEPOSIT ACCOUNT
PDSC1075,FD804,SWORNIM FIXED 3 MONTHS
PDSC960,FD802,FD INDIVIDUAL QTR > 5 YRS
PDSC1012,FD803,FD CORPORATE QTR > 5 YRS
PDSC235,FD052,SWEEP IN SWEEP OUT INST FELXI
PDSC1652,FD805,SWORNIM FIXED 3-12 MNTH
PDSC93,RFGEN,REFINANCING GENERAL
PDSC423,RFEQF,REFINANCING EARTHQUAKE
PDSC1679,FD808,AGRIM BYAJ BHUKTANI MUDAT
PDSC422,FD809,AGRIM BYAJ BHUKTANI 3MON
PDSC176,FD810,AGRIM BYAJ BHUKTANI 6MON
PDSC954,FD811,AGRIM BYAJ BHUKTANI 9MON
PDSC963,FD807,FD IND MONTHLY> 1YR
PDSC75,FDSDC,FD STRUCT DEP CORP < 5YRS
PDSC1779,FD812,SAGARMATHA RECURRING DEPOSIT ACCOUNT
PDSC670,FD026,UTTAM FIXED DEPOSIT -DIAMOND
PDSC602,FD029,UTTAM FIXED DEPOSIT INSTITUTION GOLD
PDSC462,FD024,UTTAM FIXED DEPOSIT -SILVER
PDSC1717,FD030,UTTAM FIXED DEPOSIT -INSTITUTION-DIAMOND
PDSC643,FD028,UTTAM FIXED DEPOSIT -INSTITUTION-SILVER
PDSC950,FD027,UTTAM BACHAT KHATA- DIAMOND FD
PDSC1564,FD037,SUPER UTTAM FIXED DEPOSIT -INSTITUTION-SILVER
PDSC21,FD032,SUPER UTTAM FIXED DEP -DIAMOND INDIV
PDSC699,FD033,SUPER UTTAM FIX DEPOSIT - GOLD INDIV
PDSC1127,FD034,SUPER UTTAM FIXED DEPOSIT -SILVER INDIV
PDSC1065,FD036,SUPER UTTAM FIXED DEPOSIT INSTITUTION GOLD
PDSC979,FD035,SUPER UTTAM FIXED DEPOSIT -INSTITUTION-DIAMOND
PDSC228,FD041, SUPER UTTAM FIXED DEPOSIT -SILVER INDIVIDUAL
PDSC1669,FD042, SUPER UTTAM FIXED DEPOSIT ACCOUNT -DIAMOND INSTITUTION
PDSC880,FD038, PREM SAMUNATI BCHT KHATA NPO FD
PDSC719,FD044, SUPER UTTAM FIXED DEPOSIT -INSTITUTION-SILVER
PDSC146,FD031,SUPER UTTAM BACHAT KHATA- DIAMOND FD
PDSC557,FD039, SUPER UTTAM FIXED DEPOSIT -DIAMOND INDIVIDUAL
PDSC292,FD040, SUPER UTTAM FIXED DEPOSIT - GOLD
PDSC258,FD043, SUPER UTTAM FIXED DEPOSIT ACCOUNT- GOLD INSTITUTION
PDSC709,FD045, SUPER UTTAM BACHAT KHATA- DIAMOND FD SWEEPS
PDSC740,FD046, PREMIUM SUPER UTTAM BACHAT KHATA DIAMOND SWEEPS IN OUT
PDSC1460,FD047, PREMIUM SUPER UTTAM FIXED DEPOSIT ACCOUNT DIAMOND INVIDIDUAL
PDSC1702,FD048, PREMIUM SUPER UTTAM FIXED DEPOSIT ACCOUNT GOLD INDIV
PDSC1177,FD049, PREMIUM SUPER UTTAM FIXED DEPOSIT ACCOUNTS SILVER INDIV
PDSC1480,FD053,FIXED DEPOSIT USD FCY FLEXI
PDSC1396,FD054,UTKRISTA FIXED KHATA-FD SWEEP
PDSC1637,FD055,UTKRISTA FIXED KHATA AMBASSDOR
PDSC933,FD059,UTKRISTA FIXED KHATA PRIDE 10 YEARS
PDSC1093,FD060,UTKRISTA FIXED KHATA AMBASSDOR 10 YEARS
PDSC1838,FD061,UTKRISTA FIXED KHATA AMBASSADOR MONTHLY
PDSC280,FD301,UTKRISTA FIXED KHATA REMITTANCE QUARTERLY
PDSC863,FD307,UTKRISTA REMITTANCE FIXED KHATA - PARTNER
PDSC1270,FD305,UTKRISTA REMITTANCE FIXED KHATA - AMBASSADOR
PDSC1611,FD057,UTKRISTA FIXED KHATA PARTNER
