Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
SD114, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD131, SUPER UTTAM NARI BACHAT KHATA-GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD140, PREMIUM SUPER UTTAM BIDHYARTHI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD141, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD142, PREMIUM SUPER UTTAM JESTHA NAGARIK KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD144, PREMIUM SUPER UTTAM NARI BACHAT KHATA DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD145, PREMIUM SUPER UTTAM NARI BACHAT KHATA GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD146, PREMIUM SUPER UTTAM NARI BACHAT KHATA SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD148, PREMIUM SUPER UTTAM TALAB BACHAT KHATA PRIME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD130, SUPER UTTAM NARI BACHAT KHATA-DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD136, PREMIUM SUPER UTTAM BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD153, PREMIUM SUPER UTTAM BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD154, PREMIUM SUPER UTTAM BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD155, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD128, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD149, PREMIUM SUPER UTTAM SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD151, PREMIUM SUPER UTTAM BABU NANI BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD160, PREMIUM SUPER UTTAM NARI BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD161, PREMIUM SUPER UTTAM BAIDESHIK ROJGAR BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD127, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
