mac_tcc,mac_code,mac_iden,mac_labe,updated_at
X,1008840,3251,ALOHA AIRLINES                ,2024-08-07 07:05:07.198
X,1008860,3252,ALM                           ,2024-08-07 07:05:07.198
X,1008880,3253,AMERICANWEST                  ,2024-08-07 07:05:07.198
X,1008900,3254,US AIR SUTTLE                 ,2024-08-07 07:05:07.198
X,1008920,3256,ALASKA AIRLINES               ,2024-08-07 07:05:07.198
X,1008940,3259,ATA AIR                       ,2024-08-07 07:05:07.198
X,1008960,3266,AIR SEYCHELLES                ,2024-08-07 07:05:07.198
X,1008980,3267,AIR PANAMA                    ,2024-08-07 07:05:07.198
X,1009000,3280,AIR JAMAICA                   ,2024-08-07 07:05:07.198
X,1009020,3282,AIR DJIBOUTI                  ,2024-08-07 07:05:07.198
X,1009040,3284,AERO VIRGIN ISLANDS           ,2024-08-07 07:05:07.198
X,1009060,3285,AEROPERU                      ,2024-08-07 07:05:07.198
X,1009080,3286,AERO NICARAGUENSIS            ,2024-08-07 07:05:07.198
X,1009100,3287,AERO COACH AVIATION           ,2024-08-07 07:05:07.198
X,1009120,3292,CYPRUS AIRWAYS                ,2024-08-07 07:05:07.198
X,1009140,3293,ECUATORIANA                   ,2024-08-07 07:05:07.198
X,1009160,3294,ETHIOPIAN AIRLINES            ,2024-08-07 07:05:07.198
X,1009180,3295,KENYA AIRWAYS                 ,2024-08-07 07:05:07.198
X,1009200,3298,AIR MAURITUS   AIRMA          ,2024-08-07 07:05:07.198
A,1009220,3351,AFFILIATED AUTO RENT          ,2024-08-07 07:05:07.198
A,1009240,3352,AMERICAN INTERNATION          ,2024-08-07 07:05:07.198
A,1009260,3353,BROOKS RENT A CAR             ,2024-08-07 07:05:07.198
A,1009280,3354,ACTION AUTO RENTAL            ,2024-08-07 07:05:07.198
A,1009300,3357,HERTZ RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1009320,3359,PAYLESS CAR RENTAL            ,2024-08-07 07:05:07.198
A,1009340,3360,SNAPPY CAR RENTAL             ,2024-08-07 07:05:07.198
A,1009360,3361,AIRWAYS RENT-A-CAR            ,2024-08-07 07:05:07.198
A,1009380,3362,ALTRA AUTO RENTAL             ,2024-08-07 07:05:07.198
A,1009400,3364,AGENCY RENT-A-CAR             ,2024-08-07 07:05:07.198
A,1009420,3366,BUDGET RENT-A-CAR             ,2024-08-07 07:05:07.198
A,1009440,3368,HOLIDAY RENT-A-CAR            ,2024-08-07 07:05:07.198
A,1009460,3370,RENT A WRECK                  ,2024-08-07 07:05:07.198
A,1009480,3376,AJAX RENT-A-CAR               ,2024-08-07 07:05:07.198
A,1009500,3381,EUROP CAR                     ,2024-08-07 07:05:07.198
A,1009520,3385,TROPICAL RENT-A-CAR           ,2024-08-07 07:05:07.198
A,1009540,3386,SHOWCASE RENTAL CARS          ,2024-08-07 07:05:07.198
A,1009560,3387,ALAMO RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1009580,3389,AVIS RENT-A-CAR               ,2024-08-07 07:05:07.198
A,1009600,3390,DOLLAR RENT-A-CAR             ,2024-08-07 07:05:07.198
A,1009620,3391,EUROPE BY CAR                 ,2024-08-07 07:05:07.198
A,1009640,3394,KEMWELL GROUP RENT-A          ,2024-08-07 07:05:07.198
A,1009660,3395,THRIFTY CAR RENTAL            ,2024-08-07 07:05:07.198
A,1009680,3396,TILDEN RENT-A-CAR             ,2024-08-07 07:05:07.198
A,1009700,3398,ECONO CAR RENT-A-CAR          ,2024-08-07 07:05:07.198
A,1009720,3400,AUTO HOST CAR RENTAL          ,2024-08-07 07:05:07.198
A,1009740,3409,GENERAL RENT-A-CAR            ,2024-08-07 07:05:07.198
A,1009760,3412,A1 RENT-A-CAR                 ,2024-08-07 07:05:07.198
A,1009780,3414,GODFREY NATIONAL REN          ,2024-08-07 07:05:07.198
A,1009800,3420,ANSA INTERNATIONAL            ,2024-08-07 07:05:07.198
A,1009820,3421,ALLSTATE RENT-A-CAR           ,2024-08-07 07:05:07.198
A,1009840,3423,AVCAR RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1009860,3425,AUTOMATE RENT-A-CAR           ,2024-08-07 07:05:07.198
A,1009880,3427,AVON RENT-A-CAR               ,2024-08-07 07:05:07.198
A,1009900,3428,CAREY RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1009920,3429,INSURANCE RENT-A-CAR          ,2024-08-07 07:05:07.198
A,1009940,3430,MAJOR RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1009960,3431,REPLACEMENT RENT-A-C          ,2024-08-07 07:05:07.198
